               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09044,            0.045149,            0.019713,             0.70816,             0.24885,             0.24622,            0.079126,            0.068064,            0.034853,            0.021503,             0.07024,           0.0033067,           0.0033067
                   1,            0.065787,            0.031525,            0.013652,             0.78019,             0.27294,             0.32933,             0.13836,             0.05808,            0.029542,            0.020353,            0.040174,           0.0065743,           0.0065743
                   2,            0.060121,             0.02902,            0.013623,             0.88673,             0.32693,             0.45323,             0.19835,            0.051338,            0.027633,            0.018699,            0.010043,           0.0097759,           0.0097759
                   3,            0.052448,              0.0269,            0.012663,             0.52062,             0.58875,              0.5844,             0.22902,             0.05094,            0.028445,            0.015229,            0.009703,            0.009703,            0.009703
                   4,            0.047374,            0.026671,           0.0098554,             0.68995,             0.54888,             0.62909,             0.28483,            0.043886,            0.027344,           0.0098376,            0.009703,            0.009703,            0.009703
                   5,            0.043198,            0.025697,           0.0075084,             0.76599,             0.65522,             0.71533,             0.40145,            0.040261,            0.026886,           0.0087759,            0.009604,            0.009604,            0.009604
                   6,            0.041216,            0.026096,           0.0065237,             0.79815,             0.65281,             0.73424,             0.37494,            0.042658,            0.026461,           0.0081763,            0.009505,            0.009505,            0.009505
                   7,            0.039564,            0.025174,            0.006147,             0.69098,             0.65214,             0.65108,             0.38338,            0.037768,            0.026227,           0.0080078,            0.009406,            0.009406,            0.009406
                   8,            0.039032,            0.024964,           0.0058121,             0.78455,             0.65878,             0.72932,             0.41185,            0.039102,             0.02665,           0.0075687,            0.009307,            0.009307,            0.009307
                   9,            0.037756,            0.025464,           0.0052666,             0.72855,              0.6623,             0.67239,             0.39307,            0.036994,            0.025904,           0.0070754,            0.009208,            0.009208,            0.009208
                  10,            0.036046,            0.024265,           0.0049557,              0.8098,             0.66496,             0.74256,             0.39449,            0.040055,             0.02665,           0.0075785,            0.009109,            0.009109,            0.009109
                  11,             0.03588,            0.023933,           0.0049992,             0.79365,             0.68171,             0.75296,             0.42301,            0.035117,            0.025756,           0.0067778,             0.00901,             0.00901,             0.00901
                  12,            0.035879,            0.024733,           0.0047873,             0.81692,             0.68434,             0.76559,             0.46403,            0.034702,            0.025179,           0.0068227,            0.008911,            0.008911,            0.008911
                  13,            0.034608,            0.022899,           0.0043527,             0.82581,             0.65497,             0.74674,             0.45195,            0.034248,             0.02601,           0.0076289,            0.008812,            0.008812,            0.008812
                  14,             0.03452,            0.023837,           0.0047196,             0.86587,             0.67668,             0.77593,             0.45129,            0.035475,            0.025606,           0.0070334,            0.008713,            0.008713,            0.008713
                  15,            0.033276,            0.023397,           0.0043996,             0.81406,             0.70784,             0.78412,             0.45989,            0.034744,            0.024837,           0.0061889,            0.008614,            0.008614,            0.008614
                  16,            0.033408,            0.022838,           0.0036202,             0.80437,             0.70295,             0.76883,             0.47141,            0.034204,            0.025189,           0.0067545,            0.008515,            0.008515,            0.008515
                  17,            0.032741,            0.022628,           0.0040473,             0.87142,             0.68651,              0.7782,             0.47854,            0.033603,            0.025095,           0.0068489,            0.008416,            0.008416,            0.008416
                  18,             0.03221,            0.022731,           0.0037171,             0.83505,             0.69876,             0.78253,             0.45193,            0.034423,            0.025098,           0.0070961,            0.008317,            0.008317,            0.008317
                  19,            0.031367,            0.022708,           0.0036859,              0.8377,             0.67971,             0.74901,             0.45764,            0.033176,             0.02537,           0.0067876,            0.008218,            0.008218,            0.008218
                  20,            0.031854,            0.022277,           0.0035094,              0.8552,              0.7104,             0.78199,             0.48115,            0.032178,            0.024625,           0.0058662,            0.008119,            0.008119,            0.008119
                  21,            0.030732,            0.022575,           0.0029285,             0.84518,             0.71304,             0.78768,             0.49239,            0.031907,            0.024555,           0.0059625,             0.00802,             0.00802,             0.00802
                  22,            0.030639,            0.021833,           0.0033335,             0.86473,             0.67919,              0.7749,             0.48032,             0.03287,            0.024659,           0.0065565,            0.007921,            0.007921,            0.007921
                  23,            0.030505,            0.021721,           0.0032403,             0.86107,             0.71804,             0.79854,             0.49175,             0.03311,            0.024644,           0.0058142,            0.007822,            0.007822,            0.007822
                  24,            0.030953,            0.022037,           0.0033134,             0.85109,             0.68781,             0.76803,             0.48547,            0.032108,            0.024785,           0.0069364,            0.007723,            0.007723,            0.007723
                  25,            0.030462,            0.021647,            0.003251,             0.85183,             0.72491,             0.79295,             0.49419,             0.03088,            0.024335,           0.0055944,            0.007624,            0.007624,            0.007624
                  26,            0.029464,            0.021082,           0.0030613,              0.8385,             0.71131,             0.79599,             0.49119,            0.031676,            0.024832,           0.0050747,            0.007525,            0.007525,            0.007525
                  27,            0.029701,            0.021342,           0.0028582,             0.84655,             0.71542,             0.80221,             0.50463,            0.031259,            0.024057,           0.0054294,            0.007426,            0.007426,            0.007426
                  28,            0.029485,            0.021848,           0.0029888,             0.86072,             0.70697,             0.78407,             0.47964,            0.031441,            0.023924,            0.006343,            0.007327,            0.007327,            0.007327
                  29,            0.029305,            0.020763,           0.0028659,             0.84254,              0.7104,              0.7837,             0.49516,            0.031075,            0.024115,           0.0059812,            0.007228,            0.007228,            0.007228
                  30,            0.029007,            0.021793,           0.0029439,             0.87024,              0.7099,             0.79482,             0.49793,            0.030894,            0.024678,           0.0053897,            0.007129,            0.007129,            0.007129
                  31,            0.028529,            0.021144,           0.0025832,             0.87408,             0.71886,              0.8053,              0.5098,            0.030981,            0.024159,           0.0058959,             0.00703,             0.00703,             0.00703
                  32,            0.028753,            0.020697,            0.002571,             0.87284,             0.68614,             0.77813,             0.50187,            0.030663,            0.024321,           0.0071449,            0.006931,            0.006931,            0.006931
                  33,             0.02853,            0.020707,           0.0026222,             0.83823,             0.74043,             0.80925,             0.50408,            0.031178,            0.024337,            0.005922,            0.006832,            0.006832,            0.006832
                  34,            0.028355,            0.020789,           0.0023844,             0.88223,              0.7033,             0.79591,             0.51161,            0.030756,            0.024549,           0.0066011,            0.006733,            0.006733,            0.006733
                  35,            0.027808,            0.020236,           0.0023633,             0.85272,             0.72786,             0.79797,              0.5111,            0.030482,            0.024314,           0.0055333,            0.006634,            0.006634,            0.006634
                  36,            0.028314,            0.020704,           0.0024734,             0.88923,             0.69671,             0.79065,             0.50497,             0.03048,             0.02462,            0.006073,            0.006535,            0.006535,            0.006535
                  37,            0.028073,            0.020622,           0.0024147,             0.84244,             0.70882,             0.79412,             0.50187,            0.031068,            0.023932,           0.0062043,            0.006436,            0.006436,            0.006436
                  38,            0.027413,            0.020058,           0.0021725,             0.86641,             0.71553,             0.78953,             0.50193,            0.030708,            0.024488,           0.0064497,            0.006337,            0.006337,            0.006337
                  39,            0.027158,            0.019426,           0.0022502,             0.89717,             0.71704,             0.81258,             0.51697,            0.030264,            0.024154,           0.0055279,            0.006238,            0.006238,            0.006238
                  40,             0.02761,            0.019999,           0.0021037,             0.85376,             0.72341,             0.79737,             0.51061,            0.030061,            0.024085,           0.0058442,            0.006139,            0.006139,            0.006139
                  41,            0.027276,             0.02045,           0.0021257,             0.85716,             0.72738,             0.79842,             0.51611,            0.030306,            0.023957,           0.0066879,             0.00604,             0.00604,             0.00604
                  42,            0.026854,            0.019402,           0.0021837,             0.85232,             0.71295,             0.79575,             0.51029,            0.030573,            0.024417,           0.0053847,            0.005941,            0.005941,            0.005941
                  43,            0.027377,            0.020531,           0.0020888,              0.8754,             0.70419,             0.80019,             0.52221,            0.030117,            0.024094,           0.0067843,            0.005842,            0.005842,            0.005842
                  44,             0.02685,            0.020152,            0.002249,             0.83565,             0.73105,             0.79703,             0.51488,            0.030217,            0.023893,           0.0063659,            0.005743,            0.005743,            0.005743
                  45,            0.027078,            0.020217,           0.0018129,             0.88573,             0.71662,             0.80264,             0.51845,            0.030551,            0.024352,           0.0062306,            0.005644,            0.005644,            0.005644
                  46,            0.026951,            0.019973,           0.0018396,             0.88239,             0.71128,             0.81205,             0.52041,             0.03022,            0.024249,            0.007056,            0.005545,            0.005545,            0.005545
                  47,            0.027084,             0.01997,            0.001949,              0.8704,             0.71389,             0.81237,             0.53093,            0.029885,            0.024155,            0.006069,            0.005446,            0.005446,            0.005446
                  48,            0.026124,             0.01921,           0.0019555,             0.84602,              0.7298,             0.81151,             0.52323,            0.030098,            0.024019,           0.0067685,            0.005347,            0.005347,            0.005347
                  49,            0.026286,            0.019755,           0.0016311,             0.88712,             0.71906,              0.8122,             0.52735,            0.029971,            0.023944,           0.0053165,            0.005248,            0.005248,            0.005248
                  50,            0.026116,            0.019505,           0.0018768,             0.86493,             0.73405,             0.81099,             0.52561,            0.029859,            0.024476,           0.0056536,            0.005149,            0.005149,            0.005149
                  51,            0.025738,            0.019444,            0.001516,             0.83587,             0.72852,             0.80328,             0.52075,             0.03002,            0.024176,           0.0060298,             0.00505,             0.00505,             0.00505
                  52,             0.02611,            0.019193,           0.0019436,             0.85004,             0.73528,             0.81277,             0.53129,            0.029585,            0.024009,           0.0057483,            0.004951,            0.004951,            0.004951
                  53,            0.025745,            0.019462,            0.001535,              0.8498,             0.72712,             0.80384,             0.52295,            0.029727,            0.023806,           0.0059196,            0.004852,            0.004852,            0.004852
                  54,            0.025652,            0.019866,           0.0017052,              0.8768,             0.72986,             0.81194,             0.52538,            0.029895,            0.024162,           0.0056984,            0.004753,            0.004753,            0.004753
                  55,              0.0259,            0.019788,           0.0016324,             0.88265,             0.71194,             0.80514,             0.52863,            0.029717,             0.02393,           0.0063139,            0.004654,            0.004654,            0.004654
                  56,             0.02543,            0.019432,           0.0018209,             0.83417,              0.7521,              0.8141,             0.53357,              0.0295,            0.023915,           0.0053875,            0.004555,            0.004555,            0.004555
                  57,            0.025634,            0.018933,           0.0016495,             0.86386,             0.74301,             0.82308,             0.53314,            0.029547,            0.024282,           0.0055163,            0.004456,            0.004456,            0.004456
                  58,            0.025289,            0.019359,           0.0015992,             0.87355,             0.72518,             0.81802,             0.53406,            0.029421,            0.024324,           0.0050516,            0.004357,            0.004357,            0.004357
                  59,            0.025636,            0.019417,            0.001614,             0.82751,             0.74048,             0.81797,             0.52921,            0.029547,            0.024144,           0.0056202,            0.004258,            0.004258,            0.004258
                  60,            0.025562,            0.019143,           0.0015248,             0.84065,             0.73458,             0.80764,             0.52452,            0.029544,            0.024116,           0.0058943,            0.004159,            0.004159,            0.004159
                  61,            0.025257,            0.018827,           0.0015435,             0.85577,             0.75385,             0.81753,             0.53176,            0.029777,            0.023953,           0.0050603,             0.00406,             0.00406,             0.00406
                  62,            0.025181,            0.018628,           0.0016915,             0.86283,             0.73097,             0.80787,             0.53094,            0.029185,            0.024162,           0.0054699,            0.003961,            0.003961,            0.003961
                  63,            0.024458,            0.019007,           0.0014458,             0.86569,              0.7255,             0.81278,             0.53503,            0.029306,            0.023737,           0.0054415,            0.003862,            0.003862,            0.003862
                  64,            0.024191,            0.018252,           0.0013985,             0.85546,             0.74214,             0.81742,             0.53443,            0.029392,            0.023543,           0.0049325,            0.003763,            0.003763,            0.003763
                  65,            0.024304,            0.018113,           0.0014389,             0.89351,             0.71498,             0.81238,             0.53123,            0.029385,            0.024217,            0.004919,            0.003664,            0.003664,            0.003664
                  66,            0.024753,            0.018743,           0.0013829,             0.86651,             0.72594,             0.81128,             0.53051,            0.029572,             0.02433,           0.0053864,            0.003565,            0.003565,            0.003565
                  67,            0.024691,            0.018658,           0.0013244,             0.84797,             0.75401,             0.82003,             0.53275,            0.029177,            0.024351,           0.0054858,            0.003466,            0.003466,            0.003466
                  68,            0.024803,            0.018712,           0.0016476,              0.8229,             0.74352,             0.81175,             0.53271,             0.02958,            0.024654,           0.0052739,            0.003367,            0.003367,            0.003367
                  69,            0.024197,             0.01821,           0.0014148,             0.86698,             0.74779,             0.81829,              0.5306,            0.029439,            0.024175,           0.0051096,            0.003268,            0.003268,            0.003268
                  70,            0.024176,            0.017882,           0.0012769,             0.88001,             0.71253,             0.80453,             0.52462,            0.029506,            0.024576,           0.0056974,            0.003169,            0.003169,            0.003169
                  71,            0.023783,             0.01762,           0.0011991,             0.88641,             0.72542,             0.81497,              0.5353,            0.029225,            0.024169,           0.0058835,             0.00307,             0.00307,             0.00307
                  72,            0.024605,             0.01819,           0.0012571,             0.85287,             0.75174,             0.81861,             0.53391,            0.029141,            0.024105,           0.0059394,            0.002971,            0.002971,            0.002971
                  73,            0.024362,            0.018246,           0.0014107,             0.86653,             0.72909,             0.81906,             0.53018,            0.029465,            0.023925,           0.0052145,            0.002872,            0.002872,            0.002872
                  74,            0.024299,            0.018516,           0.0014935,              0.8529,             0.75459,             0.82764,             0.54069,            0.029425,            0.023777,           0.0051986,            0.002773,            0.002773,            0.002773
                  75,            0.024339,            0.018316,           0.0012546,             0.87491,             0.73679,             0.82036,             0.53521,            0.029304,            0.023867,           0.0051957,            0.002674,            0.002674,            0.002674
                  76,            0.024755,            0.017945,           0.0012671,             0.86735,             0.75159,             0.82169,             0.53766,            0.029366,            0.023932,           0.0048918,            0.002575,            0.002575,            0.002575
                  77,            0.023788,             0.01787,           0.0012071,             0.85831,             0.75039,             0.82286,             0.53679,            0.029631,            0.023906,           0.0051943,            0.002476,            0.002476,            0.002476
                  78,            0.023932,            0.018299,           0.0012318,             0.86136,             0.73841,             0.81796,             0.53332,            0.029339,            0.023911,           0.0054225,            0.002377,            0.002377,            0.002377
                  79,            0.023353,            0.017766,           0.0012813,             0.84702,             0.74797,             0.81826,             0.53253,             0.02953,            0.024392,           0.0054729,            0.002278,            0.002278,            0.002278
                  80,            0.023637,            0.017772,           0.0012171,             0.88064,             0.72414,               0.809,             0.53137,            0.029537,            0.024445,           0.0055922,            0.002179,            0.002179,            0.002179
                  81,            0.023324,            0.017679,           0.0011442,             0.88544,             0.74193,             0.82002,             0.54041,            0.029217,             0.02419,           0.0052021,             0.00208,             0.00208,             0.00208
                  82,            0.023636,            0.017377,           0.0011316,             0.84999,             0.74727,             0.82031,             0.53583,            0.029261,            0.024424,           0.0053292,            0.001981,            0.001981,            0.001981
                  83,            0.023506,            0.017753,           0.0011509,              0.8801,             0.72946,             0.81481,             0.53472,             0.02922,            0.024363,           0.0050418,            0.001882,            0.001882,            0.001882
                  84,            0.023305,            0.017778,           0.0010836,             0.86712,             0.74622,             0.82224,             0.54012,            0.029224,            0.024294,           0.0050618,            0.001783,            0.001783,            0.001783
                  85,            0.023368,            0.017939,           0.0010999,             0.85234,             0.74633,             0.81796,             0.53921,            0.029178,            0.024057,           0.0051237,            0.001684,            0.001684,            0.001684
                  86,            0.022938,            0.017325,          0.00097919,              0.8905,             0.73075,             0.82097,             0.54063,            0.029342,            0.024076,           0.0051911,            0.001585,            0.001585,            0.001585
                  87,            0.023245,            0.018013,          0.00098698,             0.89762,             0.73595,             0.82323,             0.54139,            0.029189,            0.024149,           0.0048789,            0.001486,            0.001486,            0.001486
                  88,            0.023047,            0.017353,           0.0010112,              0.8706,             0.75149,              0.8187,             0.54016,            0.029226,            0.024185,           0.0051242,            0.001387,            0.001387,            0.001387
                  89,            0.022703,            0.016814,           0.0010222,             0.88928,             0.72819,              0.8181,             0.53845,            0.029137,            0.024108,           0.0051417,            0.001288,            0.001288,            0.001288
                  90,            0.023115,            0.016792,           0.0011536,             0.88213,             0.73989,             0.82135,             0.54558,             0.02894,            0.024155,           0.0049524,            0.001189,            0.001189,            0.001189
                  91,            0.022855,            0.017396,           0.0011044,              0.8749,             0.74204,             0.82334,             0.54547,            0.028962,            0.024075,           0.0052406,             0.00109,             0.00109,             0.00109
                  92,            0.022566,            0.016858,           0.0010799,             0.84521,             0.76098,             0.81791,             0.54451,            0.028964,            0.024036,           0.0050656,            0.000991,            0.000991,            0.000991
                  93,            0.023254,            0.017512,           0.0010159,             0.87523,             0.76209,              0.8253,             0.54407,            0.028958,            0.023902,           0.0050492,            0.000892,            0.000892,            0.000892
                  94,            0.022655,            0.016803,           0.0010169,             0.86076,             0.77311,             0.82968,             0.54556,            0.029047,             0.02396,           0.0049155,            0.000793,            0.000793,            0.000793
                  95,            0.022895,             0.01762,          0.00095876,              0.8591,             0.75454,             0.82786,             0.54633,            0.029089,            0.024008,           0.0050202,            0.000694,            0.000694,            0.000694
                  96,            0.022708,            0.017217,           0.0010124,             0.88234,             0.74305,             0.82863,             0.54658,             0.02897,            0.023906,           0.0048357,            0.000595,            0.000595,            0.000595
                  97,            0.022427,            0.017003,          0.00097064,             0.86647,             0.76562,             0.82772,             0.54626,            0.028942,            0.023868,           0.0049705,            0.000496,            0.000496,            0.000496
                  98,            0.022856,            0.016954,          0.00088227,             0.86464,             0.76263,             0.82737,             0.54679,             0.02896,            0.024012,           0.0049743,            0.000397,            0.000397,            0.000397
                  99,            0.023029,            0.017967,          0.00093926,              0.8614,             0.77025,             0.82773,             0.54827,            0.028847,            0.023971,            0.004942,            0.000298,            0.000298,            0.000298
